"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","group"
"43 CS_BS_2ndcross",-2.56994772005296,-1.56909765094327,-0.645926457247695,-1.88907980724937,-0.287613104598347,0.448685484117279,-0.0288476422054488,0.323527706487585,-0.532189199241959,0.180336973019721,0.0203442403494023,0.00300209176165417,"CS_BS"
"44 CS_HS_2ndcross",-0.994291243413843,-1.61376170755873,0.10119203455513,0.698522635529717,0.380374210477113,0.359525650161371,-0.276312172438376,-0.482277303990826,0.169228722390223,-0.141849806659643,0.0491587341006305,0.0955480739950991,"CS_HS"
"45 CS_HS_2ndcross",1.87870369939664,-2.22646199903135,0.142911163461375,0.457398347455584,-0.144603893123287,-0.469496150878717,-0.338761263986405,-0.47320505687152,-0.198178716390155,0.197170240416876,0.056158302782377,-0.0261759431371361,"CS_HS"
"46 CS_HS_2ndcross",-1.07530498905501,-1.618788295141,-0.507862269483448,-0.262081523968623,0.0149337770325248,0.594269361555503,0.506340463714902,0.480703475653352,-0.261207903271628,-0.00712289003733857,0.0789711389034334,0.0425219079502156,"CS_HS"
"47 CS_TZ_2ndcross",3.46736315666123,2.59600136514985,-0.19328010279221,0.60224669426544,-0.0549050718901727,-0.957761113134644,0.203264929380308,1.50475149283838,-0.317611171427023,0.0876983335123607,0.0196086493327639,0.016064194775019,"CS_TZ"
"48 CS_TZ_2ndcross",3.47013490478508,1.49285828913853,-0.548245533516417,-0.418700582985536,-1.5757669894455,0.474394146191108,2.37322893038268,0.277710005465867,-0.576285652903325,-0.156743303276505,-0.0487013392676483,0.0438789311025064,"CS_TZ"
"49 CS_TZ_2ndcross",1.36466023771059,3.09625939907766,0.948934972595827,1.02868821428466,-0.388971165877285,-0.644344781370152,0.633790452424156,-1.12983511424954,-0.195290217457583,0.00807651454967905,0.264014438459785,-0.0667478597675655,"CS_TZ"
"50 CS_TZ_2ndcross",3.12898226690636,1.10457152229578,-0.0452530562564298,-0.364506058810585,-0.94747116954892,0.505131227355179,1.42039185550024,0.430972264951387,-0.376341596094993,0.431743809428248,0.0895611517216108,-0.00552996157288421,"CS_TZ"
"51 CS_JC_2ndcross",-0.0945280046147679,-1.02107944353088,1.38103333119843,0.965539100950908,-0.210657061437022,0.0679803590455269,-0.791595279495252,-0.668421642843689,-0.113706358454626,0.146713439277796,0.03791487936172,-0.0936647644902767,"CS_JC"
"52 CS_JC_2ndcross",-0.342166119535194,1.26447348177924,1.7968767699868,0.176464179374848,-0.895024255839836,0.95550540995793,-0.255808592457758,0.418425071776379,-0.150627530913983,0.207019145072742,0.0514572181222272,-0.167840667864248,"CS_JC"
"53 CS_JC_2ndcross",1.52529014005744,1.09888164483807,1.59022192228084,1.17211305661168,-0.532580600715013,0.361553615943418,-1.1857767666284,0.768826414958252,-0.0773940175759806,0.112477382591547,0.185848488169233,-0.0398270538140084,"CS_JC"
"54 CS_TP_2ndcross",2.65439813771246,-0.513187795225213,0.0693367539024531,1.07635630548971,0.0952826426316587,-2.38424119588454,0.158999353640057,0.21081956308376,-0.0398664384173107,-0.183094199575971,0.107648947367002,0.140258348104868,"CS_TP"
"55 CS_TP_2ndcross",3.9651802063666,1.82358847707148,0.308564184321533,1.50653485775343,-0.0802986883529,-0.591025768484625,-1.06249671424216,0.451430651866745,-0.127056433450696,-0.214724533018793,0.00772672574665496,0.00388895085197494,"CS_TP"
"56 CS_TP_2ndcross",1.79271548523882,0.00593844011405793,0.795704911992692,0.248393628723913,-0.587742531057704,0.124700283238462,0.2394837580705,-0.395938132432945,0.189637735679445,0.563829234455736,0.0132125574893264,-0.0510283755412509,"CS_TP"
"57 CS_TP_2ndcross",1.42475813238703,-0.64720585797811,-0.341335383482393,0.36548073713217,0.194844086444622,-1.49307569661712,0.312516322614928,0.589131612884114,0.828836079991111,-0.0729674389818976,0.096560166933266,-0.0285773962121859,"CS_TP"
"58 CS_BS_2ndcross",2.53915299044732,-3.14494800191213,1.02410832848573,-1.55874623517897,-1.01749218838625,-0.732759857789352,0.452122402221329,0.759253862232764,-0.00268871998469111,0.267419721638321,-0.00626005483588922,-0.0479996260085294,"CS_BS"
"59 CS_BS_2ndcross",-0.431354966191145,-1.09852830497104,-0.152836023549456,0.6092505828995,0.589140842606563,0.217201307963121,-0.180367762775913,-0.0311884412647769,-0.596631696532631,-0.330866520005961,0.148249624967494,-0.0255942874580726,"CS_BS"
"60 CS_BS_2ndcross",-1.90820218228632,-1.99416795625372,0.195351096108951,0.249914525578152,0.51544149763738,-0.0851875175334384,-0.156079502447394,-0.466473088983835,-0.647036206526134,0.249879552796832,0.0472266727939863,-0.107534021704142,"CS_BS"
"61 CS_BS_2ndcross",2.54857137410044,-1.32417006134617,-2.28655257835266,-0.119775587706362,0.884541560091134,0.624669116538168,-0.0133805600524841,-0.128589510908451,0.386527735000799,0.594621448534831,-0.166868654722143,-0.153012602207316,"CS_BS"
"62 CS_HS_2ndcross",-2.50306711237666,-1.49240177992186,1.56622409706005,-0.0305277658958628,0.326794448595211,-0.964602747922954,-0.25479590866424,-0.158628726639238,0.429669503986738,-0.27621168069125,-0.170377562826294,-0.0794116153420948,"CS_HS"
